Color ,Valence,Remember,Congruence 
Red,5,Y,Y
Red,5,Y,Y
Red,5,Y,Y
Red,5,Y,Y
Red,1,Y,Y
Red,1,Y,Y
Red,3,Y,Y
Green,3,Y,Y
Green,4,Y,Y
Green,4,Y,Y
Green,3,Y,Y
Green,5,N,Y
Green ,1,Y,Y
Green,5,Y,Y
Green,5,Y,Y
Green,3,Y,Y
Green,5,Y,Y
Green,5,Y,N
Green,5,Y,N
Green,5,N,N
Green,5,N,N
Green,5,Y,N
Green,5,Y,N
Green,5,Y,N
Green,5,N,N
Green,5,N,N
Green,5,Y,N
Red,3,Y,N
Red,4,Y,N
Red,4,N,N
Red,4,Y,Y
Red,3,Y,N
Red,3,Y,N
Red,1,Y,N
